fold,era,wide_ok,train_start,train_end,test_start,test_end,n_train,n_test
1,1,False,2006-01-16 09:00:00+00:00,2011-01-04 14:00:00+00:00,2011-07-28 06:00:00+00:00,2012-01-16 08:00:00+00:00,31014,2887
2,1,False,2006-07-16 22:00:00+00:00,2011-07-05 13:00:00+00:00,2012-01-26 17:00:00+00:00,2012-07-16 08:00:00+00:00,31024,2919
3,1,False,2007-01-16 09:00:00+00:00,2012-01-04 00:00:00+00:00,2012-07-26 17:00:00+00:00,2013-01-16 08:00:00+00:00,30959,2893
4,1,False,2007-07-16 09:00:00+00:00,2012-07-04 00:00:00+00:00,2013-01-29 05:00:00+00:00,2013-07-16 08:00:00+00:00,30981,2755
5,1,False,2008-01-16 09:00:00+00:00,2013-01-03 17:00:00+00:00,2013-07-29 01:00:00+00:00,2014-01-16 08:00:00+00:00,30931,2783
6,1,False,2008-07-16 09:00:00+00:00,2013-07-03 12:00:00+00:00,2014-01-29 04:00:00+00:00,2014-07-16 08:00:00+00:00,30765,2777
7,2,False,2009-01-16 09:00:00+00:00,2014-01-03 22:00:00+00:00,2014-07-29 00:00:00+00:00,2015-01-16 08:00:00+00:00,30605,2790
8,2,False,2009-07-16 09:00:00+00:00,2014-07-03 16:00:00+00:00,2015-01-29 03:00:00+00:00,2015-07-16 08:00:00+00:00,30485,2764
9,2,False,2010-01-17 23:00:00+00:00,2015-01-05 19:00:00+00:00,2015-07-29 02:00:00+00:00,2016-01-15 22:00:00+00:00,30342,2747
10,2,False,2010-07-16 09:00:00+00:00,2015-07-03 11:00:00+00:00,2016-01-28 20:00:00+00:00,2016-07-15 21:00:00+00:00,30199,2751
11,2,True,2011-01-16 23:00:00+00:00,2016-01-05 06:00:00+00:00,2016-07-28 15:00:00+00:00,2017-01-16 08:00:00+00:00,30035,2744
12,2,True,2011-07-17 22:00:00+00:00,2016-07-05 05:00:00+00:00,2017-01-27 06:00:00+00:00,2017-07-14 21:00:00+00:00,29866,2743
13,3,True,2012-01-16 09:00:00+00:00,2017-01-03 15:00:00+00:00,2017-07-27 15:00:00+00:00,2018-01-16 08:00:00+00:00,29723,2761
14,3,True,2012-07-16 09:00:00+00:00,2017-07-04 02:00:00+00:00,2018-01-29 02:00:00+00:00,2018-07-16 08:00:00+00:00,29547,2734
15,3,True,2013-01-16 09:00:00+00:00,2018-01-03 11:00:00+00:00,2018-07-27 02:00:00+00:00,2019-01-16 08:00:00+00:00,29415,2753
16,3,True,2013-07-16 09:00:00+00:00,2018-07-03 11:00:00+00:00,2019-01-29 06:00:00+00:00,2019-07-16 08:00:00+00:00,29394,2731
17,3,True,2014-01-16 09:00:00+00:00,2019-01-03 15:00:00+00:00,2019-07-29 02:00:00+00:00,2020-01-16 08:00:00+00:00,29364,2757
18,3,True,2014-07-16 09:00:00+00:00,2019-07-03 13:00:00+00:00,2020-01-29 06:00:00+00:00,2020-07-16 08:00:00+00:00,29318,2752
19,4,True,2015-01-16 09:00:00+00:00,2020-01-03 15:00:00+00:00,2020-07-29 02:00:00+00:00,2021-01-15 22:00:00+00:00,29285,2744
20,4,True,2015-07-16 09:00:00+00:00,2020-07-03 11:00:00+00:00,2021-01-28 20:00:00+00:00,2021-07-16 08:00:00+00:00,29273,2738
21,4,True,2016-01-18 00:00:00+00:00,2021-01-05 06:00:00+00:00,2021-07-29 02:00:00+00:00,2022-01-14 22:00:00+00:00,29270,2747
22,4,True,2016-07-17 23:00:00+00:00,2021-07-05 11:00:00+00:00,2022-01-27 20:00:00+00:00,2022-07-15 21:00:00+00:00,29257,2755
23,4,True,2017-01-16 09:00:00+00:00,2022-01-04 06:00:00+00:00,2022-07-28 15:00:00+00:00,2023-01-16 08:00:00+00:00,29260,2746
24,4,True,2017-07-16 23:00:00+00:00,2022-07-05 05:00:00+00:00,2023-01-27 06:00:00+00:00,2023-07-14 21:00:00+00:00,29272,2746
25,4,True,2018-01-16 09:00:00+00:00,2023-01-03 15:00:00+00:00,2023-07-27 15:00:00+00:00,2024-01-16 08:00:00+00:00,29257,2765
