fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
1,1,base5y,fwd2,ridge,real,31014,2887,0.08382452789290686,0.06946733521780514,0.050274540287646684,0.18931813731001304,0.20817457568410114,,,,,
1,1,base5y,fwd2,ridge,shuffle,31014,2887,0.019900460546392596,0.03787178666449292,0.006942573014646668,0.09711606513531337,0.27052303429165225,,,,,
1,1,base5y,fwd2,hgb,real,31014,2887,0.5476865813854312,0.09236594955626783,0.05831535374072895,0.1490929644516799,0.18046414963630067,,,,,
1,1,base5y,fwd2,hgb,shuffle,31014,2887,0.5457752394695381,0.003276310325197927,0.003236547429382293,0.003699787209786917,0.18496709386906823,,,,,
1,1,base5y,fwd4,ridge,real,31014,2887,0.11087153703901068,0.115467821288498,0.13785914910294803,0.29053352477640026,0.22514721163837895,,,,,
1,1,base5y,fwd4,ridge,shuffle,31014,2887,0.02424162974318381,0.024576552939440548,-0.005755365644390034,0.03557509604627973,0.2514721163837894,,,,,
1,1,base5y,fwd4,hgb,real,31014,2887,0.5717777235387101,0.09127369234814303,0.10936775917084346,0.13689352360827894,0.17249740214755802,,,,,
1,1,base5y,fwd4,hgb,shuffle,31014,2887,0.5596124068345465,-0.015106345159300094,-0.006253594063332299,-0.07601233537235538,0.16383789400762036,,,,,
1,1,base5y,fwd8,ridge,real,31014,2887,0.12787195337907806,0.11264061588301402,0.20611011282796407,0.4401827779164129,0.23553862140630413,,,,,
1,1,base5y,fwd8,ridge,shuffle,31014,2887,0.02352194343528298,0.038292110505212126,0.019607894208123516,0.14647950372574375,0.22480083131278145,,,,,
1,1,base5y,fwd8,hgb,real,31014,2887,0.6107808699963886,0.07192167374573559,0.14590115480478139,-0.13230669022249203,0.17422930377554555,,,,,
1,1,base5y,fwd8,hgb,shuffle,31014,2887,0.5575538436313141,-0.030997678888165136,-0.06907419264796621,-0.07903811807038062,0.17977138898510564,,,,,
1,1,base5y,br_canon_long,logit,real,31014,2887,,,,,,0.5696078998678147,0.5550870166541808,0.512642881884309,0.5781710914454278,0.11742293037755455
